測站名稱,縣市,AQI,狀態,主要污染物,PM2.5,PM10,SO2,NO2,CO,O3,風速,風向,緯度,經度,距離台北車站(公里),更新時間
龍潭,桃園市,75,普通,細懸浮微粒,20,48,1.3,17,0.34,18,1.7,358,24.86400048,121.21645772,36.55,2026/02/24 18:00:00
湖口,新竹縣,88,普通,懸浮微粒,18,56,0.2,8,0.21,34,1.7,4,24.90009696,121.03886894,50.92,2026/02/24 18:00:00
竹東,新竹縣,69,普通,細懸浮微粒,21,41,0.9,15,0.33,16,1.2,77,24.74091408,121.08895493,55.03,2026/02/24 18:00:00
新竹,新竹市,78,普通,懸浮微粒,17,42,0.2,16,0.33,29,0.4,346,24.8056356,120.97236752,61.17,2026/02/24 18:00:00
頭份,苗栗縣,102,對敏感族群不健康,懸浮微粒,18,63,1.3,13,0.33,25,1.3,333,24.69690679,120.89869286,73.57,2026/02/24 18:00:00
苗栗,苗栗縣,87,普通,懸浮微粒,25,58,1,16,0.37,24,1.4,10,24.56499183,120.82011468,88.49,2026/02/24 18:00:00
三義,苗栗縣,58,普通,細懸浮微粒,18,43,1.3,5,0.21,34,1.5,16,24.38248443,120.75956754,106.43,2026/02/24 18:00:00
豐原,臺中市,71,普通,懸浮微粒,21,52,1.2,9,0.26,32,1,347,24.25699731,120.74252414,117.72,2026/02/24 18:00:00
沙鹿,臺中市,83,普通,懸浮微粒,20,43,0.6,11,0.26,27,2.5,27,24.225628,120.568794,132.45,2026/02/24 18:00:00
大里,臺中市,80,普通,懸浮微粒,19,58,0.9,17,0.43,20,0.9,28,24.09961111,120.67844444,135.3,2026/02/24 18:00:00
忠明,臺中市,72,普通,細懸浮微粒,22,50,1.1,15,0.34,25,1.3,0,24.151958,120.641092,133.28,2026/02/24 18:00:00
西屯,臺中市,73,普通,懸浮微粒,16,44,0.6,8,0.22,33,2.2,6,24.162197,120.616917,134.08,2026/02/24 18:00:00
彰化,彰化縣,81,普通,細懸浮微粒,25,47,0.2,18,0.45,23,1.9,20,24.066,120.541519,147.14,2026/02/24 18:00:00
