避難所名稱,地址,縣市,設施類型,緯度,經度,最近AQI測站,測站AQI,測站狀態,距離(公里),風險等級,預計收容人數
大埔國中小國小室內,大埔村57號,嘉義縣大埔鄉,室內,23.2944,120.5917,嘉義,42,良好,27.11,Low Risk,50
大埔國中小國小室外,大埔村57號,嘉義縣大埔鄉,室外,23.2944,120.5917,嘉義,42,良好,27.11,Low Risk,200
臺南市東山區東河活動中心,2鄰東河16-1號,臺南市東山區,室內,23.2945,120.3857,嘉義,42,良好,23.46,Low Risk,70
大埔圖書館,607嘉義縣大埔鄉53之2號,嘉義縣大埔鄉,室內,23.2949,120.5932,嘉義,42,良好,27.14,Low Risk,20
臺南市新營區太子爺廟香客大樓,太子宮45-2號、45-9號,臺南市新營區,室內,23.2955,120.2743,嘉義,42,良好,28.53,Low Risk,150
卓樂社區活動中心,12鄰18號,花蓮縣卓溪鄉,室內,23.2956,121.2703,台東,33,良好,60.62,Low Risk,50
永福社區活動中心,2鄰永福26-2號,臺東縣長濱鄉,室內,23.296186,121.434067,花蓮,35,良好,59.64,Low Risk,140
茶山國小室內,3鄰47號,嘉義縣阿里山鄉,室內,23.298248,120.666773,嘉義,42,良好,31.66,Low Risk,30
大埔零售公有市場,162-9號,嘉義縣大埔鄉,室內,23.2986,120.5938,嘉義,42,良好,26.84,Low Risk,123
臺南市新營區南梓國民小學,建業路191號,臺南市新營區,室內,23.299,120.298,嘉義,42,良好,26.79,Low Risk,700
北極殿,大埔村137號,嘉義縣大埔鄉,室內,23.2991,120.5942,嘉義,42,良好,26.81,Low Risk,13
臺南市鹽水區仁光國小,舊營117號,臺南市鹽水區,室內,23.299369,120.25746,嘉義,42,良好,29.29,Low Risk,220
臺南市新營區公誠國民小學,公誠街5號,臺南市新營區,室內,23.3036,120.3189,嘉義,42,良好,25.21,Low Risk,650
臺南市新營區新民國民小學,公園路一段136號,臺南市新營區,室內,23.3052,120.3063,嘉義,42,良好,25.74,Low Risk,500
臺南市新營區新營國民小學,中正路4號,臺南市新營區,室內,23.3062,120.3165,嘉義,42,良好,25.09,Low Risk,1150
過路國小-室內,279號,嘉義縣義竹鄉,室內,23.3064,120.2082,嘉義,42,良好,32.28,Low Risk,30
過路國小-室外,279號,嘉義縣義竹鄉,室外,23.3064,120.2082,嘉義,42,良好,32.28,Low Risk,300
和順國小-室外,356號,嘉義縣義竹鄉,室外,23.3067,120.1817,嘉義,42,良好,34.34,Low Risk,200
田組真耶穌教會,37號,臺東縣長濱鄉,室內,23.307393,121.440989,花蓮,35,良好,58.28,Low Risk,80
臺南市新營區大宏王公社區活動中心,民族路21-62號,臺南市新營區,室內,23.3085,120.3181,嘉義,42,良好,24.78,Low Risk,150
臺南市新營區南新國民中學,民治路65號,臺南市新營區,室內,23.3092,120.3088,嘉義,42,良好,25.23,Low Risk,1450
河東國小六溪分校,六溪26號,臺南市白河區,室內,23.3092,120.4595,嘉義,42,良好,21.05,Low Risk,112
臺南市東山區聖賢里頂田活動中心,19鄰聖賢50-4號,臺南市東山區,室內,23.3096,120.3472,嘉義,42,良好,23.25,Low Risk,72
臺南市新營區公所,中正路30號,臺南市新營區,室內,23.31,120.3166,嘉義,42,良好,24.72,Low Risk,150
長濱國中,15鄰180號,臺東縣長濱鄉,室內,23.314728,121.458956,花蓮,35,良好,57.17,Low Risk,140
臺南市新營區新進國民小學,中正路41號,臺南市新營區,室內,23.315,120.3164,嘉義,42,良好,24.27,Low Risk,850
埔頂集會所,4鄰埔頂13-1號,嘉義縣大埔鄉,室內,23.3156,120.5801,嘉義,42,良好,24.49,Low Risk,17
臺南市新營區新泰國民小學,東學路77號,臺南市新營區,室內,23.3161,120.3273,嘉義,42,良好,23.57,Low Risk,300
臺南市東山區東山國中,青葉路一段132號,臺南市東山區,室內,23.3166,120.4031,嘉義,42,良好,20.65,Low Risk,1000
臺南市鹽水區月津國小,月津路16號,臺南市鹽水區,室內,23.3168,120.2663,嘉義,42,良好,27.24,Low Risk,770
臺南市東山區北勢寮泉福宮,9鄰聖賢76-3號,臺南市東山區,室內,23.3169,120.3655,嘉義,42,良好,21.75,Low Risk,72
臺南市鹽水區老人文康中心,治水路254-1號,臺南市鹽水區,室內,23.3179,120.2635,嘉義,42,良好,27.34,Low Risk,150
樂合社區活動中心,樂合65-5號,花蓮縣玉里鎮,室內,23.3183,121.345,花蓮,35,良好,59.73,Low Risk,35
臺南市鹽水區公所,中山路47號,臺南市鹽水區,室內,23.3197,120.2662,嘉義,42,良好,27.01,Low Risk,180
臺南市新營區土庫國民小學,土庫71之1號,臺南市新營區,室內,23.3197,120.3452,嘉義,42,良好,22.34,Low Risk,300
臺南市鹽水區鹽水國中,三福路63號,臺南市鹽水區,室內,23.3213,120.2631,嘉義,42,良好,27.09,Low Risk,530
源城社區活動中心,水源57-1號,花蓮縣玉里鎮,室內,23.3219,121.3004,花蓮,35,良好,61.08,Low Risk,35
臺南市鹽水區鹽水國小,朝琴路137號,臺南市鹽水區,室內,23.3226,120.2707,嘉義,42,良好,26.46,Low Risk,390
臺南市東山區東山國小,青葉路二段49號,臺南市東山區,室內,23.3234,120.4048,嘉義,42,良好,19.87,Low Risk,800
臺南市東山區碧軒寺,12鄰東山218號,臺南市東山區,室內,23.3252,120.4038,嘉義,42,良好,19.7,Low Risk,300
真柄社區活動中心,2鄰12號,臺東縣長濱鄉,室內,23.32597,121.439437,花蓮,35,良好,56.29,Low Risk,100
玉里慈惠堂,信義路5號,花蓮縣玉里鎮,室內,23.3275,121.3139,花蓮,35,良好,59.96,Low Risk,40
臺南市後壁區福安社區活動中心,福安170-2號,臺南市後壁區,室內,23.3288,120.3567,嘉義,42,良好,20.91,Low Risk,45
長光社區活動中心,24鄰長光105-1號,臺東縣長濱鄉,室內,23.329484,121.461868,花蓮,35,良好,55.5,Low Risk,110
臺南市鹽水區岸內國小,新岸內96號,臺南市鹽水區,室內,23.3295,120.2609,嘉義,42,良好,26.6,Low Risk,50
新塭國小-室內,新塭374號,嘉義縣布袋鎮,室內,23.3303,120.1606,嘉義,42,良好,34.57,Low Risk,193
新塭國小-室外,新塭374號,嘉義縣布袋鎮,室外,23.330464,120.160148,嘉義,42,良好,34.6,Low Risk,1139
仙草國小關嶺分校,關嶺94之3號,臺南市白河區,室內,23.3307,120.5074,嘉義,42,良好,19.65,Low Risk,1033
忠勇國小,58號,臺東縣長濱鄉,室內,23.331466,121.43699,花蓮,35,良好,55.74,Low Risk,130
